timestamp,Open,High,Low,Close,Volume
2025-07-30 10:34:00,95.0,95.0,95.0,95.0,131
2025-07-30 10:40:00,94.74,94.74,94.74,94.74,320
2025-07-30 10:45:00,94.64,94.64,94.64,94.64,101
2025-07-30 10:52:00,94.58,94.58,94.58,94.58,500
2025-07-30 10:54:00,94.52,94.52,94.52,94.52,511
2025-07-30 11:00:00,94.1,94.11,94.1,94.1,600
2025-07-30 11:03:00,94.06,94.06,94.05,94.05,633
2025-07-30 11:09:00,94.05,94.05,94.05,94.05,100
2025-07-30 11:15:00,94.02,94.02,94.02,94.02,167
2025-07-30 11:16:00,94.03,94.03,94.03,94.03,283
2025-07-30 11:21:00,94.05,94.05,94.05,94.05,250
2025-07-30 11:28:00,94.22,94.23,94.22,94.23,373
2025-07-30 11:29:00,94.24,94.24,94.24,94.24,200
2025-07-30 11:31:00,94.4,94.51,94.4,94.51,500
2025-07-30 11:32:00,94.6,94.6,94.5,94.5,463
2025-07-30 11:33:00,94.63,94.7,94.63,94.7,830
2025-07-30 11:34:00,94.75,95.0,94.75,94.94,4119
2025-07-30 11:36:00,95.0,95.01,95.0,95.01,1020
2025-07-30 11:37:00,95.0,95.0,95.0,95.0,1030
2025-07-30 11:38:00,95.0,95.0,94.94,94.94,2355
2025-07-30 11:40:00,95.0,95.0,95.0,95.0,100
2025-07-30 11:41:00,95.0,95.0,95.0,95.0,615
2025-07-30 11:44:00,95.19,95.24,95.19,95.24,999
2025-07-30 11:46:00,95.5,95.5,95.5,95.5,200
2025-07-30 11:47:00,95.5,95.5,95.5,95.5,513
2025-07-30 11:48:00,95.49,95.49,95.49,95.49,100
2025-07-30 11:51:00,95.31,95.35,95.3,95.35,972
2025-07-30 11:52:00,95.35,95.35,95.35,95.35,263
2025-07-30 11:53:00,95.39,95.5,95.39,95.5,2527
2025-07-30 11:54:00,95.29,95.35,95.29,95.35,365
2025-07-30 11:55:00,95.25,95.25,95.25,95.25,790
2025-07-30 11:56:00,95.3,95.3,95.3,95.3,256
2025-07-30 11:57:00,95.3,95.3,95.3,95.3,1088
2025-07-30 11:58:00,95.3,95.3,95.26,95.26,1549
2025-07-30 11:59:00,95.0,95.1,94.3,95.1,2803
2025-07-30 12:00:00,95.98,95.98,94.05,94.9,6888
2025-07-30 12:01:00,94.89,94.89,94.8,94.8,410
2025-07-30 12:02:00,94.75,94.75,94.5,94.5,510
2025-07-30 12:04:00,94.51,94.51,94.5,94.5,716
2025-07-30 12:05:00,94.35,94.35,94.35,94.35,132
2025-07-30 12:06:00,94.3,94.3,94.3,94.3,405
2025-07-30 12:07:00,94.2,94.2,94.0,94.0,3316
2025-07-30 12:08:00,94.3,94.3,94.3,94.3,1202
2025-07-30 12:10:00,94.25,94.25,94.25,94.25,2053
2025-07-30 12:12:00,94.05,94.5,94.05,94.48,1250
2025-07-30 12:14:00,94.1,94.1,94.1,94.1,100
2025-07-30 12:17:00,94.4,94.4,94.4,94.4,187
2025-07-30 12:19:00,94.35,94.5,94.05,94.5,1400
2025-07-30 12:21:00,94.5,94.5,94.48,94.4999,3307
2025-07-30 12:22:00,94.5,94.5,94.5,94.5,201
2025-07-30 12:24:00,94.5,94.5,94.4999,94.4999,1089
2025-07-30 12:26:00,94.35,94.35,94.35,94.35,1063
2025-07-30 12:27:00,94.31,94.31,94.31,94.31,1225
2025-07-30 12:31:00,94.3,94.3,94.3,94.3,109
2025-07-30 12:32:00,94.0,94.0,94.0,94.0,100
2025-07-30 12:37:00,93.0,93.0,93.0,93.0,20005
2025-07-30 12:38:00,94.5,94.5,94.5,94.5,400
2025-07-30 12:40:00,94.5,94.5,94.0,94.0,1250
2025-07-30 12:42:00,94.04,94.04,94.04,94.04,225
2025-07-30 12:43:00,94.0,94.0,94.0,94.0,150
2025-07-30 12:44:00,94.0,94.0,94.0,94.0,264
2025-07-30 12:46:00,94.0,94.0,94.0,94.0,1150
2025-07-30 12:47:00,93.91,94.0,93.91,94.0,330
2025-07-30 12:48:00,94.0,94.0,94.0,94.0,170
2025-07-30 12:49:00,94.0,94.171,94.0,94.171,1264
2025-07-30 12:50:00,94.0,94.0,94.0,94.0,639
2025-07-30 12:52:00,93.91,94.2,93.91,94.0,500
2025-07-30 12:53:00,94.0,94.0,93.91,93.91,313
2025-07-30 12:54:00,93.91,94.0,93.91,94.0,600
2025-07-30 12:55:00,93.78,93.78,93.75,93.75,512
2025-07-30 12:57:00,93.75,93.75,93.75,93.75,140
2025-07-30 12:58:00,93.74,93.74,93.74,93.74,120
2025-07-30 12:59:00,93.74,93.74,93.65,93.65,1957
2025-07-30 13:00:00,93.65,93.65,93.65,93.65,591
2025-07-30 13:01:00,93.5913,93.5913,93.5913,93.5913,233
2025-07-30 13:02:00,93.58,93.58,93.55,93.55,406
2025-07-30 13:03:00,93.52,93.52,93.5,93.5,750
2025-07-30 13:04:00,93.5,93.5,93.4502,93.4502,425
2025-07-30 13:06:00,93.45,93.45,93.33,93.33,508
2025-07-30 13:07:00,93.3,93.3,92.5,92.5,3785
2025-07-30 13:08:00,93.0,93.45,93.0,93.45,1736
2025-07-30 13:09:00,93.0,93.25,93.0,93.25,1304
2025-07-30 13:10:00,93.0,93.0,92.8,93.0,1230
2025-07-30 13:11:00,93.2,93.5,92.5,93.5,24250
2025-07-30 13:12:00,93.0,93.0,92.5,93.0,1300
2025-07-30 13:13:00,92.55,92.55,92.5,92.5,3000
2025-07-30 13:16:00,92.65,92.65,92.65,92.65,1000
2025-07-30 13:17:00,92.98,93.0,92.96,92.98,2765
2025-07-30 13:18:00,92.98,93.01,92.98,93.0,7717
2025-07-30 13:19:00,93.2,93.25,93.2,93.25,222
2025-07-30 13:20:00,93.18,93.25,93.18,93.25,435
2025-07-30 13:21:00,93.05,93.25,93.0,93.2,2166
2025-07-30 13:22:00,93.25,94.75,93.24,94.75,10723
2025-07-30 13:23:00,93.25,93.55,93.0,93.55,3990
2025-07-30 13:24:00,93.55,93.55,93.24,93.24,3676
2025-07-30 13:25:00,93.53,93.58,93.51,93.5497,8646
2025-07-30 13:26:00,93.55,93.55,93.49,93.5497,2261
2025-07-30 13:27:00,93.53,93.55,93.53,93.55,2152
2025-07-30 13:28:00,93.45,93.5497,93.45,93.5497,802
2025-07-30 13:29:00,93.53,94.0,93.35,94.0,2412
2025-07-30 13:30:00,93.74,94.3,93.35,94.0,36561
2025-07-30 13:31:00,94.24,94.5,94.05,94.5,34176
2025-07-30 13:32:00,94.48,94.5,94.4,94.5,34253
2025-07-30 13:33:00,94.5,95.0,94.48,94.95,31031
2025-07-30 13:34:00,94.745,94.989,94.47,94.49,47673
2025-07-30 13:35:00,94.471,94.5,94.05,94.275,68274
2025-07-30 13:36:00,94.291,94.5,94.1,94.5,9956
