timestamp,Open,High,Low,Close,Volume,VWAP,Trades
2025-03-26 12:12:00,94.0,94.0,94.0,94.0,100.0,94.0,1
2025-03-26 13:27:00,94.5,94.5,94.5,94.5,500.0,94.5,1
2025-03-26 13:28:00,95.0,95.0,95.0,95.0,100.0,95.0,1
2025-03-26 13:29:00,95.0,95.0,95.0,95.0,490.0,95.1633,3
2025-03-26 13:30:00,94.75,94.9036,94.75,94.9036,2727.0,94.7346,13
2025-03-26 13:31:00,94.625,94.75,94.5,94.75,932.0,94.6788,11
2025-03-26 13:32:00,94.75,95.9999,94.7463,95.98,5464.0,95.0232,22
2025-03-26 13:33:00,95.5,96.0,95.4,95.4,6806.0,95.7343,49
2025-03-26 13:34:00,95.0,95.4,93.56,95.1951,6603.0,95.2828,31
2025-03-26 13:35:00,95.0,95.0,94.5,94.5,2039.0,94.7654,18
2025-03-26 13:37:00,94.9999,94.9999,94.0001,94.0001,2656.0,94.5933,13
2025-03-26 13:38:00,94.0,94.6999,93.55,93.55,7617.0,94.1564,32
2025-03-26 13:39:00,93.5,93.5,93.0,93.5,1996.0,93.3416,25
2025-03-26 13:40:00,93.5,93.5,93.5,93.5,626.0,93.4984,6
2025-03-26 13:42:00,93.75,94.1788,93.75,93.85,1223.0,93.858,13
2025-03-26 13:43:00,93.5,93.5,93.5,93.5,330.0,93.5235,11
2025-03-26 13:44:00,94.0,94.39,93.25,94.39,3812.0,93.5093,24
2025-03-26 13:45:00,93.975,94.7,93.25,93.25,10364.0,93.305,24
2025-03-26 13:46:00,93.1,93.1,93.1,93.1,867.0,93.1585,8
2025-03-26 13:47:00,93.1001,93.895,92.5,92.5,4261.0,93.2068,21
2025-03-26 13:48:00,93.595,93.595,93.0,93.0,781.0,93.4084,8
2025-03-26 13:49:00,93.9999,93.9999,92.88,93.0,4997.0,93.4702,14
2025-03-26 13:50:00,93.0,93.0,93.0,93.0,2669.0,93.0003,9
2025-03-26 13:51:00,93.0,93.0,93.0,93.0,3260.0,93.0002,8
2025-03-26 13:53:00,93.0,93.0,93.0,93.0,451.0,93.1097,3
2025-03-26 13:54:00,93.15,93.15,93.0,93.0,269.0,93.0572,7
2025-03-26 13:55:00,93.0,93.0,93.0,93.0,352.0,92.9586,11
2025-03-26 13:56:00,93.0,93.0,93.0,93.0,1800.0,93.0044,15
2025-03-26 13:57:00,92.8,92.8,92.8,92.8,174.0,92.8566,7
2025-03-26 13:58:00,93.0,93.0,93.0,93.0,601.0,93.0,4
2025-03-26 13:59:00,93.0,93.0,93.0,93.0,111.0,93.0231,3
2025-03-26 14:02:00,92.8,92.85,92.8,92.85,601.0,92.8356,8
2025-03-26 14:03:00,92.8,92.85,92.8,92.85,1301.0,92.8054,6
2025-03-26 14:06:00,92.89,92.89,92.89,92.89,782.0,92.7743,16
2025-03-26 14:07:00,92.335,92.335,92.335,92.335,122.0,92.3567,4
2025-03-26 14:08:00,92.6,92.6,92.5965,92.5965,511.0,92.5979,7
2025-03-26 14:09:00,92.425,92.6,92.425,92.6,262.0,92.5045,6
2025-03-26 14:12:00,92.59,92.59,92.59,92.59,124.0,92.5916,4
2025-03-26 14:13:00,92.6,92.6,92.6,92.6,1002.0,92.599,7
2025-03-26 14:14:00,92.45,92.45,92.45,92.45,844.0,92.4668,13
2025-03-26 14:15:00,92.549,92.55,92.549,92.55,930.0,92.5499,10
2025-03-26 14:16:00,92.55,92.55,92.55,92.55,461.0,92.5487,4
2025-03-26 14:17:00,92.55,92.6,92.504,92.6,3375.0,92.5537,20
2025-03-26 14:18:00,92.6,92.6,92.5999,92.6,1130.0,92.5989,16
2025-03-26 14:19:00,92.6,92.6,92.6,92.6,3050.0,92.6,6
2025-03-26 14:21:00,92.6,92.6,92.59,92.59,1285.0,92.5991,14
2025-03-26 14:22:00,92.59,92.6,92.55,92.554,3405.0,92.5816,18
2025-03-26 14:24:00,92.6,92.6,92.6,92.6,581.0,92.6,12
2025-03-26 14:25:00,92.59,92.6,92.59,92.6,846.0,92.5973,11
2025-03-26 14:26:00,92.6,92.6,92.577,92.6,3151.0,92.5908,16
2025-03-26 14:28:00,92.55,92.55,92.45,92.45,1707.0,92.4654,17
2025-03-26 14:29:00,92.5,92.5,92.25,92.33,812.0,92.4032,11
2025-03-26 14:32:00,92.49,92.6,92.49,92.6,1680.0,92.5634,14
2025-03-26 14:34:00,92.59,92.59,92.25,92.3,2911.0,92.2997,16
2025-03-26 14:36:00,92.3,92.3,92.3,92.3,250.0,92.3,1
2025-03-26 14:37:00,92.001,92.001,92.0,92.0,703.0,92.0116,28
2025-03-26 14:38:00,91.805,92.5999,91.805,92.5999,914.0,92.2929,11
2025-03-26 14:39:00,92.4,92.4569,92.4,92.4569,1100.0,92.4052,3
2025-03-26 14:41:00,92.5999,92.5999,92.2,92.2,10704.0,92.2039,31
2025-03-26 14:43:00,92.5999,92.5999,92.5999,92.5999,102.0,92.596,2
2025-03-26 14:44:00,92.25,92.599,92.2,92.599,2922.0,92.246,16
2025-03-26 14:47:00,92.4,92.4,92.4,92.4,1300.0,92.4,1
2025-03-26 14:48:00,92.4,92.45,92.3999,92.3999,4963.0,92.402,10
2025-03-26 14:49:00,92.4,92.4,92.3,92.325,812.0,92.3622,9
2025-03-26 14:50:00,92.35,92.35,92.3,92.3,1908.0,92.3346,15
2025-03-26 14:51:00,92.35,92.35,92.3,92.3,13597.0,92.3235,23
2025-03-26 14:52:00,92.35,92.35,92.275,92.35,400.0,92.3125,3
2025-03-26 14:53:00,92.35,92.35,92.35,92.35,200.0,92.35,2
2025-03-26 14:55:00,92.35,92.35,92.35,92.35,307.0,92.3495,8
2025-03-26 14:56:00,92.35,92.35,92.3,92.3,9605.0,92.3157,39
2025-03-26 14:57:00,92.29,92.3,92.29,92.3,1914.0,92.2954,19
2025-03-26 14:59:00,92.3,92.3,92.2,92.2,1302.0,92.2291,8
2025-03-26 15:00:00,92.28,92.67,92.0,92.0,3071.0,92.4015,28
2025-03-26 15:01:00,92.0,92.0,92.0,92.0,1014.0,91.9998,12
2025-03-26 15:02:00,92.0,92.0,92.0,92.0,2226.0,92.0007,15
2025-03-26 15:03:00,91.9,91.9,91.9,91.9,2296.0,91.9014,12
2025-03-26 15:04:00,91.75,91.75,91.75,91.75,354.0,91.7535,5
2025-03-26 15:07:00,92.0,92.0,92.0,92.0,5641.0,92.0002,31
2025-03-26 15:09:00,92.0,92.08,92.0,92.08,2340.0,92.0043,9
2025-03-26 15:12:00,92.2,92.2,92.2,92.2,124.0,92.2165,4
2025-03-26 15:13:00,93.1375,93.1375,93.1375,93.1375,101.0,93.1386,2
2025-03-26 15:14:00,93.0,93.0,93.0,93.0,617.0,93.0109,6
2025-03-26 15:15:00,93.25,93.25,92.8,92.8,1893.0,92.8799,12
2025-03-26 15:17:00,92.5,92.625,92.5,92.5,977.0,92.5167,11
2025-03-26 15:18:00,92.5,92.7499,92.475,92.62,675.0,92.5555,9
2025-03-26 15:19:00,92.475,92.475,92.475,92.475,275.0,92.5973,5
2025-03-26 15:20:00,92.7499,92.7499,92.7276,92.7276,365.0,92.7423,3
2025-03-26 15:21:00,92.5508,92.75,92.5508,92.75,4239.0,92.577,7
2025-03-26 15:22:00,92.7498,92.75,92.7498,92.75,403.0,92.7499,7
2025-03-26 15:23:00,92.75,92.75,92.7499,92.7499,297.0,92.7496,11
2025-03-26 15:24:00,92.75,92.75,92.74,92.74,1298.0,92.7475,12
2025-03-26 15:26:00,92.75,92.75,92.5,92.5,2049.0,92.6235,19
